Org1,Org2,Edu1,Edu2,Edu3,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Software Engineering,Software Engineering,Other,Other,Other,Software Engineering,Software Engineering,Software Engineering,Human computer interaction,Software Engineering,Human computer interaction,Software Engineering,Software Engineering
Software Engineering,Business System Analysis,Information Technology,Information Technology,Other,Business System Analysis,Software Engineering,Software Engineering,Quality Assurance,Software Engineering,Database,Software Engineering,Other
Software Engineering,Other,Computer Hardware,Other,Other,Software Engineering,Software Engineering,Computer Hardware,Other,Other,Other,Other,Software Engineering
Quality Assurance,Quality Assurance,Software Engineering,Information Technology,Information Technology,Software Engineering,Software Engineering,Quality Assurance,Quality Assurance,Quality Assurance,Other,Database,Quality Assurance
Software Engineering,Software Engineering,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Database
Management,Other,Software Engineering,Software Engineering,Software Engineering,Management,Management,Software Engineering,Software Engineering,Other,Other,Other,Other
Other,Other,Cloud Computing,Computer Science,Mathematics of computing,Management,Other,Software Engineering,Data Sience,Software Engineering,Software Engineering,Software Engineering,Other
Software Engineering,Other,Information Technology,Information Technology,Other,Software Engineering,Database,Marketing,Management,Database,Software Engineering,Software Engineering,Software Engineering
Quality Assurance,Quality Assurance,Information Technology,Other,Other,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Quality Assurance,Database,Software Engineering
Software Engineering,Software Engineering,Computer Hardware,Mathematics of computing,Other,Software Engineering,Database,Software Engineering,Software Engineering,Computer Hardware,Computer Hardware,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Information System,Bio-informatics,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering,Software Engineering
Software Engineering,Software Engineering,Other,Other,Computer Hardware,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software organization & Operating Systems,Database
Software Engineering,Other,Computer Science,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Data Structures and Algorithms,Software Engineering,Software Engineering,Software Engineering
Other,Other,System/Infrastructure integration &  Administration,Information Technology,Marketing,Database,Communication and Networks,Management,Data Sience,Management,Database,Software Engineering,Software Engineering
Other,Other,Software Engineering,Other,Other,Other,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Software Engineering,Database,Software Engineering
Software Engineering,Software Engineering,Management,Mathematics of computing,Other,Data Sience,Cloud Computing,Software Engineering,Other,Other,Other,Other,Other
